contribution,decision,game_id,payoff,player_id,player_name,player_type,round,statement,thinking
more,5,Game-47e2cd,3.75,edef59c6-5a5b-496e-a729-2ad592c6a649,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,1,N/A,INVESTMENT: 5
less,0,Game-47e2cd,8.75,10ae7455-f232-4c1f-804e-5542d7e877db,Free-Rider_2,A selfish player who aims to maximize their own score by letting others do the work.,1,N/A,INVESTMENT: 0
more,5,Game-47e2cd,3.75,edef59c6-5a5b-496e-a729-2ad592c6a649,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,2,I believe we can all achieve better outcomes through mutual cooperation.  Let's try investing more next round to see how much more we can all gain together.,INVESTMENT: 5
less,0,Game-47e2cd,8.75,10ae7455-f232-4c1f-804e-5542d7e877db,Free-Rider_2,A selfish player who aims to maximize their own score by letting others do the work.,2,Pass.,INVESTMENT: 0
more,5,Game-47e2cd,3.75,edef59c6-5a5b-496e-a729-2ad592c6a649,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,3,I continue to believe that mutual cooperation leads to the best overall outcome for everyone involved.  I hope we can find a way to work together more effectively in future rounds.,INVESTMENT: 5
less,0,Game-47e2cd,8.75,10ae7455-f232-4c1f-804e-5542d7e877db,Free-Rider_2,A selfish player who aims to maximize their own score by letting others do the work.,3,Pass.,INVESTMENT: 0
more,5,Game-47e2cd,3.75,edef59c6-5a5b-496e-a729-2ad592c6a649,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,4,"I believe that by working together, we can all achieve significantly higher payoffs than we have seen so far.  Let's explore strategies that benefit everyone.",INVESTMENT: 5
less,0,Game-47e2cd,8.75,10ae7455-f232-4c1f-804e-5542d7e877db,Free-Rider_2,A selfish player who aims to maximize their own score by letting others do the work.,4,Pass.,INVESTMENT: 0
more,5,Game-47e2cd,3.75,edef59c6-5a5b-496e-a729-2ad592c6a649,Altruist_1,A player who believes that cooperation is always the best strategy for everyone.,5,I'm committed to continued cooperation and believe we can all achieve higher payoffs through mutual investment.,INVESTMENT: 5
less,0,Game-47e2cd,8.75,10ae7455-f232-4c1f-804e-5542d7e877db,Free-Rider_2,A selfish player who aims to maximize their own score by letting others do the work.,5,pass,INVESTMENT: 0
